"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","NES_sign"
"GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE",8,0.75819279029911,1.42163035686193,0.0336862367661213,0.234227631363319,0.203969739681148,980,"tags=50%, list=10%, signal=45%","ARL6IP1/ITGB1/ARL6IP5/SLC1A3","Positive"
"GOCC_A_BAND","GOCC_A_BAND","GOCC_A_BAND",9,0.744055851649227,1.42153704807631,0.0335789473684211,0.234227631363319,0.203969739681148,701,"tags=33%, list=7%, signal=31%","ENO1/ALDOA/DST","Positive"
"GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS","GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS","GOBP_REGULATION_OF_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS",8,0.757886027377463,1.42105516874704,0.0336862367661213,0.234227631363319,0.203969739681148,952,"tags=38%, list=10%, signal=34%","PGAM1/PPP1CA/SCARB2","Positive"
"GOMF_PHOSPHATASE_ACTIVATOR_ACTIVITY","GOMF_PHOSPHATASE_ACTIVATOR_ACTIVITY","GOMF_PHOSPHATASE_ACTIVATOR_ACTIVITY",15,0.679159637540635,1.38506007769873,0.0335930385510473,0.234227631363319,0.203969739681148,723,"tags=27%, list=8%, signal=25%","CALM2/CALM3/CALM1/PPP1R15A","Positive"
"GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING","GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING","GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING",39,0.58458032374004,1.27913923988625,0.0337033703370337,0.234227631363319,0.203969739681148,2917,"tags=51%, list=30%, signal=36%","CALM2/ANXA2/S100A11/CALM3/CALM1/S100A10/S100A14/S100A9/S100A4/PDCD6/ANXA4/ANXA11/ANXA7/S100A16/ALG2/CPNE3/TSG101/CLN3/VAMP2/ANXA6","Positive"
"GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION",41,0.578950721110154,1.27107384390142,0.0336,0.234227631363319,0.203969739681148,1053,"tags=20%, list=11%, signal=17%","CLIC1/IL6ST/CEBPB/CEBPD/IFITM1/ATRAID/ILK/PDLIM7","Positive"
"GOCC_SPECIFIC_GRANULE_MEMBRANE","GOCC_SPECIFIC_GRANULE_MEMBRANE","GOCC_SPECIFIC_GRANULE_MEMBRANE",54,0.558349027444599,1.24472928688269,0.0336966303369663,0.234227631363319,0.203969739681148,1875,"tags=44%, list=20%, signal=36%","CYBB/MCEMP1/PLAUR/CD59/LAMTOR1/CYBA/LAIR1/C3AR1/LAMTOR2/VAMP8/OLR1/CMTM6/PTPRJ/CKAP4/CD47/AGPAT2/CLEC12A/STK10/DEGS1/MLEC/PLAU/CD53/TMEM30A/ITGAV","Positive"
"GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSPORT",9,0.743915404329292,1.42126872000907,0.0337894736842105,0.234611373039546,0.204303909007581,983,"tags=33%, list=10%, signal=30%","DAB2/EZR/PRKN","Positive"
"GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION","GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION","GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION",9,0.743701671094719,1.42086037739517,0.0338947368421053,0.234912792931233,0.204566391006329,2028,"tags=78%, list=21%, signal=61%","APOE/PFDN2/TREM2/PFDN4/PFDN1/PFDN6/VBP1","Positive"
"GOMF_PHOSPHOLIPID_TRANSFER_ACTIVITY","GOMF_PHOSPHOLIPID_TRANSFER_ACTIVITY","GOMF_PHOSPHOLIPID_TRANSFER_ACTIVITY",13,0.695626115621625,1.39403698228126,0.0338879248749617,0.234912792931233,0.204566391006329,1680,"tags=31%, list=17%, signal=25%","PRELID1/CERT1/PITPNC1/TRIAP1","Positive"
"GOBP_CGMP_METABOLIC_PROCESS","GOBP_CGMP_METABOLIC_PROCESS","GOBP_CGMP_METABOLIC_PROCESS",6,-0.624570536179073,-1.53930674265902,0.0339805825242718,0.235046099301753,0.204682476651453,3613,"tags=100%, list=38%, signal=62%","GUCY1A1/PDE10A/PDE5A/NPR2/NPPC","Negative"
"GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION","GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION","GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION",30,0.607491399374823,1.30980446517494,0.0340068013602721,0.235046099301753,0.204682476651453,1173,"tags=33%, list=12%, signal=29%","LGALS1/P4HB/IFITM1/SNX3/GSN/LY6E/CD74/LGALS9/FUCA2/CXCL8","Positive"
"GOBP_ACTIN_FILAMENT_POLYMERIZATION","GOBP_ACTIN_FILAMENT_POLYMERIZATION","GOBP_ACTIN_FILAMENT_POLYMERIZATION",96,0.522177441001539,1.19409855694905,0.033996600339966,0.235046099301753,0.204682476651453,3158,"tags=49%, list=33%, signal=33%","ARPC3/ARPC1B/CAPG/ARPC5/PRKCE/RAC1/SVIL/GSN/AIF1/PYCARD/FCHSD2/SSH2/PFN1/ARPC2/TWF2/MKKS/RASA1/HAX1/PTK2B/EVL/BAIAP2L1/CDC42EP3/MTPN/CAPZA2/CAPZB/VASP/ARFGEF1/ARPC1A/NCK1/WASHC3/JAK2/HCLS1/ARHGAP18/FER/ARPC5L/GAS7/ARHGAP6/DLG1/MSRB1/MYADM/TRIOBP/GRB2/WAS/DBNL/WASHC2C/TMSB4X/SPIRE1","Positive"
"GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY","GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY","GOBP_FC_GAMMA_RECEPTOR_SIGNALING_PATHWAY",16,0.672646742179172,1.38112160554008,0.0341241797072186,0.235215307673351,0.204829826421016,1896,"tags=50%, list=20%, signal=40%","FCER1G/PRKCE/FCGR3A/LYN/PTPRJ/CD47/FGR/CLEC4E","Positive"
"GOMF_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY","GOMF_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY","GOMF_INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY",39,0.583900768432783,1.27765228279261,0.0341034103410341,0.235215307673351,0.204829826421016,2865,"tags=59%, list=30%, signal=42%","TPI1/PDIA6/MIF/DDT/ECH1/P4HB/ERP29/PDIA3/PTGES3/GLRX2/PDIA4/GNPDA1/ERP44/TBXAS1/CRELD2/EBP/ECI2/SREBF2/TMX3/PTGES2/EBPL/ENOPH1/QSOX1","Positive"
"GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY",98,0.52002506488282,1.18992078303673,0.0340965903409659,0.235215307673351,0.204829826421016,3122,"tags=49%, list=32%, signal=33%","PELI1/HMGB1/HSPD1/HSPA1A/LY96/RTN4/PHB/NOP53/C1QBP/PRKCE/CYBA/CTSS/HSPA1B/PHB2/CD14/S100A14/TREM2/LGALS9/LYN/ITCH/CD300LF/IRAK1/COLEC12/ARRB2/TRAF3/SEC14L1/NINJ1/FLOT1/IFI35/CLEC4E/ANKRD17/AP3B1/ERBIN/OAS1/GPR108/RNF135/CD36/UFD1/IRF7/SLC15A3/UNC93B1/APPL1/TNIP2/BIRC2/BPIFB1/DDX58/BCL10/SCARA3","Positive"
"GOMF_CALCIUM_CATION_ANTIPORTER_ACTIVITY","GOMF_CALCIUM_CATION_ANTIPORTER_ACTIVITY","GOMF_CALCIUM_CATION_ANTIPORTER_ACTIVITY",5,0.826092177131676,1.43422205422791,0.0341564735748904,0.235224454464975,0.204837791615795,557,"tags=40%, list=6%, signal=38%","SLC3A2/SLC8A1","Positive"
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE",172,0.492936923341001,1.14965083516443,0.0341965803419658,0.235287340831134,0.204892554222839,2113,"tags=31%, list=22%, signal=25%","LGALS1/ALOX5AP/ACP5/SCGB1A1/APOE/GPX1/IL6ST/CTSC/CD81/GRN/SOD1/CEBPB/PARK7/GPX4/DDT/PSMA1/FABP4/PYCARD/FOXP1/PSMA6/PPARD/NDFIP1/S100A9/TREM2/ASH1L/NEAT1/NFKB1/VAMP8/SELENOS/MDK/ZFP36/LYN/VPS35/CCL3/CD47/ZYX/FGR/APP/NKG7/CCL5/IL1B/SNX6/CASP1/NINJ1/GPSM3/TNFRSF1A/IFI35/PLA2G7/SIRPA/PSMB4/IL15/CXCL17/JAK2/SERPINE1","Positive"
"GOBP_MITOCHONDRION_MORPHOGENESIS","GOBP_MITOCHONDRION_MORPHOGENESIS","GOBP_MITOCHONDRION_MORPHOGENESIS",14,0.68895655560662,1.39283945851455,0.0343530846630755,0.236150254389793,0.205643995258649,718,"tags=36%, list=7%, signal=33%","BAX/SLIRP/SSBP1/FIS1/CERT1","Positive"
"GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE",233,0.481280518535977,1.13176478775603,0.0343965603439656,0.236235327642643,0.205718078615666,3154,"tags=39%, list=33%, signal=27%","ARPC3/ARPC1B/APOE/GPX1/CAPG/HSP90AB1/ARPC5/SOD1/RTN4/LAMTOR5/PPP1CA/PRKCE/RAC1/AP2M1/LAMTOR4/SVIL/GSN/AKT3/PYCARD/SLC8A1/FCHSD2/SSH2/PFN1/ARPC2/RAB11A/PICALM/PPARD/PPP1R15A/TWF2/BRK1/MKKS/RASA1/EZR/HAX1/PTK2B/EVL/DOCK4/BAIAP2L1/SPP1/CDC42EP3/MTPN/CAPZA2/EIF4G2/CAPZB/VASP/ADM/WDR1/ARFGEF1/ITGB1BP1/PTEN/TMEM123/HP1BP3/ARPC1A/TBXAS1/NCK1/RGS2/DNM2/ASXL1/HCLS1/ARHGAP18/VEGFA/SLC12A6/PER2/SCPEP1/MAP1B/GSK3B/SEMA4A/PLOD3/FER/DOCK5/RUFY3/ARPC5L/DIP2B/GDI1/CLN3/DLG1/SPART/KCNMA1/MYADM/DSCAM/TRIOBP/GRB2/MMP2/WAS/LIMA1/CLNS1A/DBNL/WASHC2C/CHRM3/F2R/TMSB4X","Positive"
"GOBP_ACTIN_CROSSLINK_FORMATION","GOBP_ACTIN_CROSSLINK_FORMATION","GOBP_ACTIN_CROSSLINK_FORMATION",9,0.742277129186907,1.4181387549605,0.0345263157894737,0.236698460953829,0.206121383641509,1313,"tags=44%, list=14%, signal=38%","FLNA/AIF1/BAIAP2L1/MARCKS","Positive"
"GOBP_REGULATION_OF_VIRAL_PROCESS","GOBP_REGULATION_OF_VIRAL_PROCESS","GOBP_REGULATION_OF_VIRAL_PROCESS",100,0.518508331477203,1.18784920717815,0.0344965503449655,0.236698460953829,0.206121383641509,2818,"tags=45%, list=29%, signal=32%","LGALS1/SLPI/ISG15/PPIA/RAD23A/BANF1/P4HB/IFITM1/SNX3/GSN/LY6E/PLSCR1/DYNLT1/RSF1/CD74/IFI16/LGALS9/SNF8/KPNA2/ZFP36/BST2/CXCR4/CXCL8/LARP7/MPHOSPH8/CCL5/ATG12/HACD3/PPID/IFITM3/TRIM28/ILF3/IFIT1/TASOR/OAS1/BCL2/TOP2A/NECTIN2/CNOT7/TSG101/LAMP3/HEXIM1/EIF2AK2/TRIM22/MX1","Positive"
"GOBP_INTERLEUKIN_4_PRODUCTION","GOBP_INTERLEUKIN_4_PRODUCTION","GOBP_INTERLEUKIN_4_PRODUCTION",15,0.678012408181694,1.38272044869665,0.0347060609126783,0.237502016840274,0.206821134922021,1851,"tags=47%, list=19%, signal=38%","SCGB1A1/FCER1G/CEBPB/NDFIP1/LGALS9/DDIT3/IL1RAP","Positive"
"GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND","GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND","GOBP_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND",44,0.573275154882186,1.26386562583384,0.0346965303469653,0.237502016840274,0.206821134922021,1875,"tags=32%, list=20%, signal=26%","MCL1/BAX/HSPA1A/BCL2A1/PPP1CA/FOXO3/WWOX/HSPA1B/INHBA/PRDX2/IL1B/IFI6/PPP2R1A/ITGAV","Positive"
"GOBP_RESPONSE_TO_STARVATION","GOBP_RESPONSE_TO_STARVATION","GOBP_RESPONSE_TO_STARVATION",110,0.513503564933349,1.18118680699078,0.0347965203479652,0.237906722379067,0.207173559966472,2856,"tags=45%, list=30%, signal=32%","HNRNPA1/GLUL/HSPA5/HSPA8/LAMP2/DNAJC15/MAP1LC3B/UPP1/AKR1C3/ATF4/FOXO3/ATG7/COMT/GABARAPL2/GABARAP/FOXO1/SIK2/SH3GLB1/BCAS3/IFI16/TBC1D5/MAP3K5/ZFP36/EIF2S1/XBP1/ADM/DDIT3/ADSL/XPR1/MTMR3/FOXK2/KLF10/FNIP1/BECN1/EIF2A/CBL/RRAGA/BCL2/SREBF2/ACAT1/EIF2AK1/CDKN1A/RRAGC/SESN1/EIF2AK2/GBA/SFRP1/WIPI1/ACADM/RRAGD","Positive"
"GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION","GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION","GOBP_REGULATION_OF_PEPTIDYL_SERINE_PHOSPHORYLATION",74,0.538864532157817,1.21894941654048,0.0348965103489651,0.238375802707499,0.207582043764575,2362,"tags=35%, list=25%, signal=27%","RACK1/HSP90AA1/TXN/HSP90AB1/BAX/MIF/PARK7/PDCD10/HAX1/SMYD3/BRAF/PWP1/TERF2IP/ARRB2/APP/PTEN/NCK1/PDE4D/FNIP1/GGNBP2/HCLS1/VEGFA/EIF4G1/DDIT4/BCL2/DMD","Positive"
"GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY","GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY","GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY",28,0.613267734857494,1.31720096258909,0.0350070014002801,0.238701241145895,0.20786544155661,1382,"tags=29%, list=14%, signal=25%","ANXA2/BSG/PPP1CA/S100A11/PKP2/BAIAP2L1/CD47/PDLIM5","Positive"
"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION","GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION","GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION",60,0.549637575851436,1.2314850928895,0.034996500349965,0.238701241145895,0.20786544155661,2830,"tags=52%, list=29%, signal=37%","RAC1/DST/S100A10/ACTN1/ACTG1/BCAS3/LAMTOR2/PTK2B/ITGA5/TLN1/PTPRJ/ITGB1BP1/DUSP3/PTEN/RAB8B/THY1/WDPCP/LIMS1/CORO1C/VEGFA/CLASP2/MMP14/IQSEC1/BCL2/POLDIP2/PLEC/ARHGAP6/TRIP6/MAP4K4/CLASP1/SFRP1","Positive"
"GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT","GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT","GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT",11,-0.4609375,-1.45895303634297,0.0352717142248112,0.239385704286714,0.2084614846786,5187,"tags=100%, list=54%, signal=46%","WWTR1/GREM1/TCF21/LAMB2/OSR1/BMP4/LIF/GDNF/LGR4/SMO","Negative"
"GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS","GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS","GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS",21,0.638289918321789,1.34295368252579,0.0351985559566787,0.239385704286714,0.2084614846786,2065,"tags=43%, list=21%, signal=34%","DAB2/FLNA/SNX3/EZR/SNF8/MAP2K1/CHMP3/BECN1/MAP2K2","Positive"
"GOMF_ANION_CHANNEL_ACTIVITY","GOMF_ANION_CHANNEL_ACTIVITY","GOMF_ANION_CHANNEL_ACTIVITY",22,0.634507546808733,1.33970893789241,0.0351632939290723,0.239385704286714,0.2084614846786,813,"tags=18%, list=8%, signal=17%","CLIC1/VDAC1/VDAC2/VDAC3","Positive"
"GOBP_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY","GOBP_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY","GOBP_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY",25,0.621569965265148,1.32493954861245,0.0352352352352352,0.239385704286714,0.2084614846786,1846,"tags=48%, list=19%, signal=39%","PELI1/LY96/PRKCE/CD14/S100A14/TREM2/LGALS9/LYN/IRAK1/NINJ1/FLOT1/IFI35","Positive"
"GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS","GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS","GOBP_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS",68,0.541030263729444,1.21964688275442,0.0352964703529647,0.239385704286714,0.2084614846786,3080,"tags=50%, list=32%, signal=34%","GAPDH/PKM/ENO1/ALDOA/TPI1/FBP1/PGAM1/EIF6/STAT3/LDHA/ZBTB20/PGK1/GUK1/HIF1A/PFKL/INSR/APP/MPP1/NUDT5/FOXK2/ARL2/DDIT4/NUPR1/AK3/RRM2/DLG1/ADPGK/RRM1/AK2/TIGAR/NT5E/GALK1/PRKAG1/PGM1","Positive"
"GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS",68,0.541029062634343,1.21964417512049,0.0352964703529647,0.239385704286714,0.2084614846786,1597,"tags=24%, list=17%, signal=20%","CES1/ENO1/DAB2/PARK7/PRKCE/ZBTB20/CD74/PPARD/FOXO1/TREM2/HIF1A/MTLN/ADM/INSR/APP/IL1B","Positive"
"GOBP_DUMP_METABOLIC_PROCESS","GOBP_DUMP_METABOLIC_PROCESS","GOBP_DUMP_METABOLIC_PROCESS",6,0.798832250624994,1.43108949852914,0.0353321444493981,0.239413888704396,0.208486028189134,875,"tags=67%, list=9%, signal=61%","DPYD/UPP1/DUT/NT5C","Positive"
"GOBP_RESPONSE_TO_ETHANOL","GOBP_RESPONSE_TO_ETHANOL","GOBP_RESPONSE_TO_ETHANOL",50,0.562931835734532,1.24988152619372,0.0353964603539646,0.239635929455183,0.208679385368528,2388,"tags=44%, list=25%, signal=33%","CYBB/SOD1/PRKCE/TUFM/CD14/HDAC2/PTK2B/SDF4/PSMD14/ACTR2/G6PD/TBXAS1/CCND1/RGS2/TYMS/ITPR2/MGMT/CBL/CAT/CDK1/GOT2/NQO1","Positive"
"GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION","GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION","GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",63,0.547539639162315,1.22970617195995,0.0355964403559644,0.240560997281055,0.209484951486121,1061,"tags=21%, list=11%, signal=18%","APOE/GPX1/HSPB1/HMGB1/ITGB1/HMOX1/AKT3/FBXW7/CIB1/PDCD10/PTK2B/HIF1A/RGCC","Positive"
"GOBP_HEART_PROCESS","GOBP_HEART_PROCESS","GOBP_HEART_PROCESS",105,0.515811220622922,1.18405085964315,0.0355964403559644,0.240560997281055,0.209484951486121,2362,"tags=30%, list=25%, signal=23%","CALM2/AKAP13/GSTO1/GPX1/HOPX/SOD1/SUMO1/FLNA/CELF2/PDE4B/GSN/SLC8A1/PKP2/CALM3/CALM1/CXCR4/HBEGF/TPM1/ADM/GLRX3/MEF2A/GNAI2/SRI/YWHAE/RGS2/PDE4D/JAK2/TMEM38B/GAA/ANK2/DMD","Positive"
"GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE","GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE",10,0.726304767633706,1.40955162568625,0.0356882738528769,0.240967225054625,0.209838702120682,283,"tags=30%, list=3%, signal=29%","ALOX5AP/IL6ST/PARK7","Positive"
"GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION",11,0.712876405043343,1.39864217573878,0.0358434046069621,0.241275358543536,0.210107030443666,1359,"tags=45%, list=14%, signal=39%","CD68/PYCARD/CD74/TREM2/SLC11A1","Positive"
"GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING","GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING","GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING",23,0.628981032853541,1.33328880509359,0.0358609636381849,0.241275358543536,0.210107030443666,1931,"tags=57%, list=20%, signal=45%","HSPA8/HSPA1A/PRDX6/NCL/RBM3/SNW1/SNRNP70/NUP98/RBMX/SRSF5/DYRK1A/CIRBP/TRA2B","Positive"
"GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE","GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE","GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE",37,0.587532793618166,1.28175766572206,0.0358,0.241275358543536,0.210107030443666,1616,"tags=38%, list=17%, signal=32%","HNRNPA1/HNRNPA2B1/CCT5/CCT4/CCT6A/CCT3/CCT8/XRCC5/TCP1/CCT2/CCT7/RAD50/DHX36/HNRNPD","Positive"
"GOMF_CYTOKINE_ACTIVITY","GOMF_CYTOKINE_ACTIVITY","GOMF_CYTOKINE_ACTIVITY",72,0.539249674903224,1.21839644816967,0.0357964203579642,0.241275358543536,0.210107030443666,2212,"tags=33%, list=23%, signal=26%","SCGB3A1/HMGB1/TIMP1/GRN/MIF/CXCL3/CCL18/AIMP1/CKLF/INHBA/CCL20/SPP1/NAMPT/CXCL16/CXCL8/CCL3/CCL5/IL1B/CXCL2/IL32/IL15/FAM3C/VEGFA/CCL2","Positive"
"GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT","GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT","GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT",63,0.547308506050254,1.22918707563501,0.0358964103589641,0.241300117775833,0.210128591239618,2097,"tags=30%, list=22%, signal=24%","CALM2/FKBP1A/GSTO1/VDAC1/PRKCE/SUMO1/ARL6IP5/ISCU/CALM3/CALM1/SELENOS/OAZ1/FABP5/SRI/IL1B/YWHAE/RGS2/PPIF/SESTD1","Positive"
"GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY","GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY","GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY",8,0.755339376544265,1.41628013503645,0.0359319858838627,0.241325698296924,0.210150867228995,1651,"tags=75%, list=17%, signal=62%","PELI1/ANAPC11/RBX1/STUB1/UBR5/AMFR","Positive"
"GOMF_FERRIC_IRON_BINDING","GOMF_FERRIC_IRON_BINDING","GOMF_FERRIC_IRON_BINDING",5,0.823484069605374,1.42969398165009,0.0361181629356104,0.242147895550659,0.210866851755819,32,"tags=40%, list=0%, signal=40%","FTH1/ACP5","Positive"
"GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION",6,0.797714378329585,1.42908685617037,0.0361123495318769,0.242147895550659,0.210866851755819,362,"tags=33%, list=4%, signal=32%","HSP90AB1/TYROBP","Positive"
"GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX","GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX","GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX",5,0.82319004538413,1.4291835107435,0.0362335564274175,0.242707314482066,0.211354004074902,1296,"tags=80%, list=13%, signal=69%","CAPG/MTPN/CAPZA2/CAPZB","Positive"
"GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR","GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR","GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR",12,0.70277192422127,1.39683450486189,0.0362779258044681,0.242790417983031,0.211426372135662,2487,"tags=83%, list=26%, signal=62%","MIF/TAF9/CD74/PRKN/TRIAP1/MARCHF7/PTTG1IP/BCL2/ARMC10/ING2","Positive"
"GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT","GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT","GOBP_NEUROTRANSMITTER_RECEPTOR_TRANSPORT",10,0.725648069959268,1.40827716169284,0.0363125585266882,0.242808269866834,0.211441917885201,1205,"tags=40%, list=13%, signal=35%","RAB11A/STX3/RAB8A/VPS35","Positive"
"GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL","GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL","GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_CELL",42,0.577007312168014,1.26865830724517,0.0364,0.24317889182058,0.211764662315419,1999,"tags=40%, list=21%, signal=32%","TSPO/TXN/HSPA5/KDELR2/PARK7/CHCHD10/SKP1/GSN/RER1/TWF2/HNRNPU/OS9/KDELR1/ARL2BP/CCDC88A/VPS13D/ARL2","Positive"
"GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS",8,0.754690705088116,1.41506385990763,0.0364666880547535,0.24339444896599,0.211952373451717,374,"tags=38%, list=4%, signal=36%","CTSL/CTSB/CTSS","Positive"
